Start Latitude,Start Longitude,End Latitude,End Longitude,Transect number,CTD #/flow File,Depth (m),Total bacteria/mL,Active bacteria/mL,Dead bacteria/mL,Protozoa/mL,Phytoplankton/mL,,,,,,integrated Phytoplankton/mL
-66.93228,59.93969,-66.933,59.93922,7,CTD85 syto13.004,89.767,42849.8,1665.735294,21599.45087,71.59462334,473.147076,,,,,,6883.450584
-62.66695,69.99994,-62.66728,69.99579,9,CTD87 syto13.001,8.366,61408.94904,25807.74834,53773.125,284.7473811,2096.77617,,,,,,
-62.66695,69.99994,-62.66728,69.99579,9,CTD87 syto13.002,38.04,76639.88281,14869.39103,47923.69427,236.4029731,2056.21336,,,,,,
-62.66695,69.99994,-62.66728,69.99579,9,CTD87 syto13.003,50.746,68866.57534,10888.81818,46895.10363,227.9943307,2011.026917,,,,,,
-62.66695,69.99994,-62.66728,69.99579,9,CTD87 syto13.004,114.447,51312.91667,6326.25,34349.75904,108.7875305,368.816262,,,,,,6532.832709
-63.99677,70.00066,-63.98896,70.00075,9,CTD89 syto13.001,11.493,48705.32258,12953.75,34218.58156,229.536763,2290.683206,,,,,,
-63.99677,70.00066,-63.98896,70.00075,9,CTD89 syto13.002,49.922,70185.56604,20454.875,38788.68613,145.6714441,2119.98442,,,,,,
-63.99677,70.00066,-63.98896,70.00075,9,CTD89 syto13.003,60.339,54623.42742,20042.13675,45869.66942,95.70210286,1520.887473,,,,,,
-63.99677,70.00066,-63.98896,70.00075,9,CTD89 syto13.004,69.364,73160.71429,15655.87121,44640.61538,99.67155053,1249.45408,,,,,,7181.009178
-64.99803,69.99681,-64.99265,69.97908,9,CTD91 syto13.001,9.883,28109.24802,17719.16107,33280.50584,277.5315605,5777.702487,,,,,,
-64.99803,69.99681,-64.99265,69.97908,9,CTD91 syto13.002,51.076,44191.44781,18582.36842,25621.00865,203.988381,3824.782144,,,,,,
-64.99803,69.99681,-64.99265,69.97908,9,CTD91 syto13.003,70.086,41754.4868,20566.23596,33094.25837,147.4992909,1873.240994,,,,,,
-64.99803,69.99681,-64.99265,69.97908,9,CTD91 syto13.004,119.403,30405.23256,6240.528455,16294.88636,68.1866334,762.4505371,,,,,,12238.17616
-66.0005,69.9981,-66.00081,70.00237,9,CTD93 syto13.001,8.485,101565.6422,32765.30928,65927.7,35.24799231,1278.998578,,,,,,
-66.0005,69.9981,-66.00081,70.00237,9,CTD93 syto13.002,50.756,134106.3402,32314.52991,60898.30247,51.98017179,1380.36234,,,,,,
-66.0005,69.9981,-66.00081,70.00237,9,CTD93 syto13.003,60.137,128532.8788,38561.04396,72470.88028,40.47236641,747.3896996,,,,,,
